region_id	canonical_name	canonical_reading	region_type	parent_region_id	alternative_names	source_reference	notes
REGION-三河国	三河国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-三重県	三重県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-上総国	上総国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-上野国	上野国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-下総国	下総国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-下野国	下野国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-不明	不明	-	unknown	-	-	律令制度|現代行政	不明・未分類
REGION-丹後国	丹後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-丹波国	丹波国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-京都府	京都府	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-伊予国	伊予国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-伊予国(別)	伊予国(別)	-	other	-	-	律令制度|現代行政	その他(派生・別名)
REGION-伊勢国	伊勢国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-伊豆国	伊豆国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-伊賀国	伊賀国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-伯耆国	伯耆国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-但馬国	但馬国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-佐渡国	佐渡国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-佐賀県	佐賀県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-信濃国	信濃国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-備中国	備中国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-備前国	備前国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-備後国	備後国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-兵庫県	兵庫県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-出羽国	出羽国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-出雲国	出雲国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-加賀国	加賀国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-北海道	北海道	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-北陸道	北陸道	-	dou	-	-	律令制度|現代行政	五畿七道(律令体制)
REGION-千葉県	千葉県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-南海道	南海道	-	dou	-	-	律令制度|現代行政	五畿七道(律令体制)
REGION-周防国	周防国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-和歌山県	和歌山県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-和泉国	和泉国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-因幡国	因幡国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-土佐国	土佐国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-埼玉県	埼玉県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-壱岐国	壱岐国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-大分県	大分県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-大和国	大和国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-大阪府	大阪府	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-大隅国	大隅国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-奈良県	奈良県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-安房国	安房国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-安芸国	安芸国	-	ancient_country	-	-	律令制度|現代行政	令制国
